"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","31P2R1A5","42P1R1A12","44P3R3A6","51P2R2A10","54P2R2A3"
"smf-1","","Major fimbrial subunit SMF-1","3","3","1","74","1311","35","23","","560","560","560","31P2R1A5_04427","","44P3R3A6_03217","","54P2R2A3_02181"
"htrE_2","","Outer membrane usher protein HtrE","3","3","1","74","1313","35","21","","2435","2435","2435","31P2R1A5_04429","","44P3R3A6_03215","","54P2R2A3_02183"
"group_2040","","hypothetical protein","3","3","1","74","1315","35","18","","866","866","866","31P2R1A5_04431","","44P3R3A6_03213","","54P2R2A3_02185"
"iolE_2","","Inosose dehydratase","3","3","1","74","1342","156","4","","920","920","920","31P2R1A5_04441","","44P3R3A6_03203","","54P2R2A3_02194"
"iolU_2","","scyllo-inositol 2-dehydrogenase (NADP(+)) IolU","3","3","1","74","1344","156","8","","1031","1031","1031","31P2R1A5_04443","","44P3R3A6_03201","","54P2R2A3_02196"
"scrB","","Sucrose-6-phosphate hydrolase","3","3","1","74","1300","18","2","","1400","1400","1400","31P2R1A5_04451","","44P3R3A6_03193","","54P2R2A3_02204"
"yiaW_2","","Inner membrane protein YiaW","3","3","1","74","1295","18","7","","344","344","344","31P2R1A5_04456","","44P3R3A6_03188","","54P2R2A3_02209"
"hipO_4","","Hippurate hydrolase","3","3","1","74","1288","18","14","","1178","1178","1178","31P2R1A5_04464","","44P3R3A6_03180","","54P2R2A3_02216"
"moaF","","Protein MoaF","3","3","1","74","1285","18","17","","791","791","791","31P2R1A5_04467","","44P3R3A6_05266","","54P2R2A3_04708"
"fabG_11","","3-oxoacyl-[acyl-carrier-protein] reductase FabG","3","3","1","74","1284","18","18","","776","776","776","31P2R1A5_04468","","44P3R3A6_05265","","54P2R2A3_04707"
"group_2050","","hypothetical protein","3","3","1","74","1280","18","22","","1172","1172","1172","31P2R1A5_04470","","44P3R3A6_05263","","54P2R2A3_04703"
"feaB_2","","Phenylacetaldehyde dehydrogenase","3","3","1","74","1268","18","30","","1484","1484","1484","31P2R1A5_04476","","44P3R3A6_05255","","54P2R2A3_04697"
"iolE_4","","Inosose dehydratase","3","3","1","74","1424","37","4","","1022","1022","1022","31P2R1A5_04481","","44P3R3A6_05250","","54P2R2A3_04692"
"group_2054","","hypothetical protein","3","3","1","74","1426","37","6","","416","416","416","31P2R1A5_04483","","44P3R3A6_05248","","54P2R2A3_04690"
"rbsR_4","","Ribose operon repressor","3","3","1","74","1427","37","7","","980","980","980","31P2R1A5_04484","","44P3R3A6_05247","","54P2R2A3_04689"
"group_2056","","hypothetical protein","3","3","1","74","1432","37","11","","1034","1043","1037","31P2R1A5_04488","","44P3R3A6_01721","","54P2R2A3_04685"
"group_2057","","hypothetical protein","3","3","1","74","1442","37","2","","581","581","581","31P2R1A5_04493","","44P3R3A6_01711","","54P2R2A3_04675"
"group_2058","","hypothetical protein","3","3","1","74","1445","130","9","","248","248","248","31P2R1A5_04496","","44P3R3A6_01708","","54P2R2A3_04672"
"mdtA_3","","Multidrug resistance protein MdtA","3","3","1","74","1449","130","6","","1079","1079","1079","31P2R1A5_04499","","44P3R3A6_01705","","54P2R2A3_04669"
"cycB","","Cyclodextrin-binding protein","3","3","1","74","9908","119","3","","671","1232","1045","31P2R1A5_03311","","44P3R3A6_03302","","54P2R2A3_02117"
"group_2061","","hypothetical protein","3","3","1","74","1242","131","5","","923","923","923","31P2R1A5_04509","","44P3R3A6_01695","","54P2R2A3_04659"
"hisC_2","","Histidinol-phosphate aminotransferase","3","3","1","74","1243","131","8","","1334","1334","1334","31P2R1A5_04510","","44P3R3A6_01694","","54P2R2A3_04658"
"group_2066","","hypothetical protein","3","3","1","74","4558","687","1","","686","686","686","31P2R1A5_04518","","44P3R3A6_03777","","54P2R2A3_03694"
"fimD_2","","Outer membrane usher protein FimD","3","3","1","74","4739","120","12","","2579","2579","2579","31P2R1A5_04525","","44P3R3A6_03770","","54P2R2A3_03701"
"lpfB_1","","putative fimbrial chaperone LpfB","3","3","1","74","4738","120","11","","671","689","677","31P2R1A5_04526","","44P3R3A6_03769","","54P2R2A3_03702"
"ycbV","","putative fimbrial-like protein YcbV","3","3","1","74","4737","120","10","","539","539","539","31P2R1A5_04527","","44P3R3A6_03768","","54P2R2A3_03703"
"yohK_2","","Inner membrane protein YohK","3","3","1","74","4736","120","9","","677","689","681","31P2R1A5_04529","","44P3R3A6_03767","","54P2R2A3_03704"
"oxyR_2","","HTH-type transcriptional regulator GltC","3","3","1","74","4734","120","7","","881","881","881","31P2R1A5_04531","","44P3R3A6_03765","","54P2R2A3_03706"
"group_2077","","hypothetical protein","3","3","1","74","4571","575","1","","668","668","668","31P2R1A5_04534","","44P3R3A6_03762","","54P2R2A3_03709"
"pdeC","","putative cyclic di-GMP phosphodiesterase PdeC","3","3","1","74","4720","617","1","","1604","1604","1604","31P2R1A5_04537","","44P3R3A6_03759","","54P2R2A3_03712"
"group_2080","","hypothetical protein","3","3","1","74","4718","52","1","","857","857","857","31P2R1A5_04539","","44P3R3A6_03757","","54P2R2A3_03714"
"group_2081","btuD_8","Vitamin B12 import ATP-binding protein BtuD","3","3","1","74","4715","52","19","","1031","1031","1031","31P2R1A5_04542","","44P3R3A6_03754","","54P2R2A3_03717"
"group_2082","","Mono(2-hydroxyethyl) terephthalate hydrolase","3","3","1","74","4703","52","7","","1760","1760","1760","31P2R1A5_04550","","44P3R3A6_03746","","54P2R2A3_03723"
"group_2083","soxS_2","Regulatory protein SoxS","3","3","1","74","4702","52","6","","368","368","368","31P2R1A5_04551","","44P3R3A6_03745","","54P2R2A3_03724"
"qorA_2","","Quinone oxidoreductase 1","3","3","1","74","4671","351","3","","983","983","983","31P2R1A5_04562","","44P3R3A6_03734","","54P2R2A3_03735"
"pspG","","Phage shock protein G","3","3","1","74","4670","351","2","","242","242","242","31P2R1A5_04563","","44P3R3A6_03733","","54P2R2A3_03736"
"group_2088","","hypothetical protein","3","3","1","74","4574","322","2","","209","209","209","31P2R1A5_04567","","44P3R3A6_03729","","54P2R2A3_03740"
"dinF","","DNA damage-inducible protein F","3","3","1","74","4575","322","3","","1316","1316","1316","31P2R1A5_04568","","44P3R3A6_03728","","54P2R2A3_03741"
"dgkA","","Diacylglycerol kinase","3","3","1","74","4659","116","1","","368","368","368","31P2R1A5_04570","","44P3R3A6_03726","","54P2R2A3_03743"
"ubiC","","Chorismate pyruvate-lyase","3","3","1","74","4656","116","4","","497","497","497","31P2R1A5_04573","","44P3R3A6_03723","","54P2R2A3_03746"
"zinT","","Metal-binding protein ZinT","3","3","1","77","52","445","2","","650","650","650","31P2R1A5_04619","","44P3R3A6_04545","","54P2R2A3_03999"
"group_2112","","hypothetical protein","3","3","1","77","64","292","4","","371","374","372","31P2R1A5_04627","","44P3R3A6_04539","","54P2R2A3_04006"
"rpmE","","50S ribosomal protein L31","3","3","1","77","70","255","1","","212","212","212","31P2R1A5_04631","","44P3R3A6_04535","","54P2R2A3_04012"
"priA","","Primosomal protein N'","3","3","1","77","69","255","4","","2195","2195","2195","31P2R1A5_04632","","44P3R3A6_04534","","54P2R2A3_04013"
"menA","","1,4-dihydroxy-2-naphthoate octaprenyltransferase","3","3","1","77","79","632","1","","920","920","920","31P2R1A5_04637","","44P3R3A6_04529","","54P2R2A3_04018"
"yiiM","","Protein YiiM","3","3","1","77","24","667","1","","674","674","674","31P2R1A5_04644","","44P3R3A6_04522","","54P2R2A3_04025"
"rhaB","","L-Rhamnulokinase","3","3","1","77","95","353","3","","1466","1466","1466","31P2R1A5_04649","","44P3R3A6_04517","","54P2R2A3_04030"
"fbaA_2","","putative fructose-bisphosphate aldolase","3","3","1","77","213","171","2","","842","848","846","31P2R1A5_04667","","44P3R3A6_04494","","54P2R2A3_04051"
"fdhD","","Sulfur carrier protein FdhD","3","3","1","77","204","98","2","","836","836","836","31P2R1A5_04672","","44P3R3A6_04489","","54P2R2A3_04056"
"vapC","","tRNA(fMet)-specific endonuclease VapC","3","3","1","77","148","276","2","","383","491","419","31P2R1A5_04678","","44P3R3A6_04483","","54P2R2A3_04062"
"yihX","","Alpha-D-glucose 1-phosphate phosphatase YihX","3","3","1","77","186","418","2","","599","599","599","31P2R1A5_04684","","44P3R3A6_04477","","54P2R2A3_04068"
"hemN","","Oxygen-independent coproporphyrinogen III oxidase","3","3","1","77","175","136","8","","1373","1373","1373","31P2R1A5_04690","","44P3R3A6_04471","","54P2R2A3_04073"
"yihG","","putative acyltransferase YihG","3","3","1","77","170","136","4","","899","899","899","31P2R1A5_04694","","44P3R3A6_04467","","54P2R2A3_04077"
"mobA","","Molybdenum cofactor guanylyltransferase","3","3","1","77","164","407","2","","581","581","581","31P2R1A5_04698","","44P3R3A6_04463","","54P2R2A3_04081"
"nepI_3","","Purine ribonucleoside efflux pump NepI","3","3","1","75","887","71","26","","1193","1193","1193","31P2R1A5_04702","","44P3R3A6_04638","","54P2R2A3_04091"
"uhpB","","Signal transduction histidine-protein kinase/phosphatase UhpB","3","3","1","75","878","399","2","","1502","1505","1504","31P2R1A5_04708","","44P3R3A6_04632","","54P2R2A3_04098"
"group_2146","","hypothetical protein","3","3","1","75","722","166","3","","446","446","446","31P2R1A5_04714","","44P3R3A6_04626","","54P2R2A3_04104"
"group_2147","","hypothetical protein","3","3","1","75","723","166","2","","833","833","833","31P2R1A5_04715","","44P3R3A6_04625","","54P2R2A3_04105"
"dsdC","","HTH-type transcriptional regulator DsdC","3","3","1","75","863","175","5","","923","923","923","31P2R1A5_04717","","44P3R3A6_04623","","54P2R2A3_04107"
"yggR","","putative protein YggR","3","3","1","74","6630","187","7","","707","980","889","31P2R1A5_03387","","44P3R3A6_03458","","54P2R2A3_00906"
"dsdA","","D-serine dehydratase","3","3","1","75","861","175","4","","1328","1328","1328","31P2R1A5_04719","","44P3R3A6_04621","","54P2R2A3_04109"
"mngR_3","","Mannosyl-D-glycerate transport/metabolism system repressor MngR","3","3","1","75","849","336","3","","722","746","738","31P2R1A5_04725","","44P3R3A6_04615","","54P2R2A3_04115"
"group_2155","","hypothetical protein","3","3","1","75","839","97","4","","1226","1265","1252","31P2R1A5_04730","","44P3R3A6_04610","","54P2R2A3_04122"
"group_2160","","hypothetical protein","3","3","1","75","801","170","2","","722","728","724","31P2R1A5_04744","","44P3R3A6_04596","","54P2R2A3_04141"
"gamA","","putative glucosamine-6-phosphate deaminase 2","3","3","1","75","791","277","4","","719","719","719","31P2R1A5_04748","","44P3R3A6_04592","","54P2R2A3_04145"
"atpI","","ATP synthase protein I","3","3","1","75","768","429","1","","380","380","380","31P2R1A5_04766","","44P3R3A6_04574","","54P2R2A3_04163"
"rsmG","","Ribosomal RNA small subunit methyltransferase G","3","3","1","75","769","429","2","","623","623","623","31P2R1A5_04767","","44P3R3A6_04573","","54P2R2A3_04164"
"mioC","","Protein MioC","3","3","1","75","762","654","1","","440","440","440","31P2R1A5_04769","","44P3R3A6_04571","","54P2R2A3_04166"
"asnA","","Aspartate--ammonia ligase","3","3","1","75","765","302","1","","992","992","992","31P2R1A5_04771","","44P3R3A6_04569","","54P2R2A3_04168"
"rbsK_4","","Ribokinase","3","3","1","75","752","284","3","","932","932","932","31P2R1A5_04779","","44P3R3A6_04561","","54P2R2A3_04176"
"comM","","Competence protein ComM","3","3","1","78","110","394","1","","1520","1520","1520","31P2R1A5_04788","","44P3R3A6_04718","","54P2R2A3_04358"
"ilvG","","Acetolactate synthase isozyme 2 large subunit","3","3","1","78","107","394","2","","1646","1646","1646","31P2R1A5_04789","","44P3R3A6_04717","","54P2R2A3_04359"
"pcpR_2","","PCP degradation transcriptional activation protein","3","3","1","78","136","254","2","","926","926","926","31P2R1A5_04800","","44P3R3A6_04705","","54P2R2A3_04371"
"gppA","","Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase","3","3","1","78","137","254","1","","1508","1508","1508","31P2R1A5_04801","","44P3R3A6_04704","","54P2R2A3_04372"
"dhaK_2","","Dihydroxyacetone kinase","3","3","1","74","7105","22","13","","1649","1649","1649","31P2R1A5_03508","","44P3R3A6_03556","","54P2R2A3_01075"
"rffG","","dTDP-glucose 4,6-dehydratase 2","3","3","1","78","149","167","4","","1067","1067","1067","31P2R1A5_04809","","44P3R3A6_04696","","54P2R2A3_04380"
"wecD","","dTDP-fucosamine acetyltransferase","3","3","1","78","106","167","2","","674","674","674","31P2R1A5_04811","","44P3R3A6_04694","","54P2R2A3_04382"
"wecF","","TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase","3","3","1","78","96","307","1","","1076","1076","1076","31P2R1A5_04814","","44P3R3A6_04691","","54P2R2A3_04385"
"wecG","","UDP-N-acetyl-D-mannosaminuronic acid transferase","3","3","1","78","98","307","3","","740","740","740","31P2R1A5_04816","","44P3R3A6_04689","","54P2R2A3_04387"
"hemX","","Protein HemX","3","3","1","78","94","265","4","","1181","1181","1181","31P2R1A5_04823","","44P3R3A6_04682","","54P2R2A3_04394"
"hemD","","Uroporphyrinogen-III synthase","3","3","1","78","93","265","3","","740","740","740","31P2R1A5_04824","","44P3R3A6_04681","","54P2R2A3_04395"
"hemC","","Porphobilinogen deaminase","3","3","1","78","80","265","2","","956","956","956","31P2R1A5_04825","","44P3R3A6_04680","","54P2R2A3_04396"
"group_2202","","hypothetical protein","3","3","1","78","76","329","3","","707","707","707","31P2R1A5_04830","","44P3R3A6_04675","","54P2R2A3_04401"
"xerC_5","","Tyrosine recombinase XerC","3","3","1","78","75","329","2","","902","902","902","31P2R1A5_04831","","44P3R3A6_04674","","54P2R2A3_04402"
"yigB","","5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB","3","3","1","78","74","329","1","","716","716","716","31P2R1A5_04832","","44P3R3A6_04673","","54P2R2A3_04403"
"group_2207","","ISNCY family transposase ISRor2","3","3","1","78","65","107","2","","920","920","920","31P2R1A5_04840","","44P3R3A6_04665","","54P2R2A3_04411"
"group_2208","","hypothetical protein","3","3","1","78","56","630","1","","1448","1448","1448","31P2R1A5_04849","","44P3R3A6_04656","","54P2R2A3_04420"
"ubiJ_2","","Ubiquinone biosynthesis accessory factor UbiJ","3","3","1","78","51","252","1","","605","605","605","31P2R1A5_04851","","44P3R3A6_04654","","54P2R2A3_04422"
"tatB","","Sec-independent protein translocase protein TatB","3","3","1","78","48","252","2","","536","536","536","31P2R1A5_04854","","44P3R3A6_04651","","54P2R2A3_04425"
"yigZ","","IMPACT family member YigZ","3","3","1","78","31","344","3","","614","614","614","31P2R1A5_04863","","44P3R3A6_04642","","54P2R2A3_04434"
"tabA","","Toxin-antitoxin biofilm protein TabA","3","3","1","74","4966","238","2","","452","452","452","31P2R1A5_04879","","44P3R3A6_04306","","54P2R2A3_03849"
"mgtA","","Magnesium-transporting ATPase, P-type 1","3","3","1","74","4958","401","2","","2708","2708","2708","31P2R1A5_04883","","44P3R3A6_04310","","54P2R2A3_03853"
"treC","","Trehalose-6-phosphate hydrolase","3","3","1","74","4954","294","6","","1655","1655","1655","31P2R1A5_04886","","44P3R3A6_04313","","54P2R2A3_03856"
"licR","","putative licABCH operon regulator","3","3","1","74","4941","157","4","","1910","1910","1910","31P2R1A5_04891","","44P3R3A6_04316","","54P2R2A3_03866"
"pgl_2","","6-phosphogluconolactonase","3","3","1","74","4940","157","5","","1154","1154","1154","31P2R1A5_04892","","44P3R3A6_04317","","54P2R2A3_03867"
"group_2230","","Deacetylase","3","3","1","74","4937","157","1","","1133","1133","1133","31P2R1A5_04895","","44P3R3A6_04320","","54P2R2A3_03870"
"group_2232","","hypothetical protein","3","3","1","74","4927","514","1","","299","299","299","31P2R1A5_04898","","44P3R3A6_04323","","54P2R2A3_03873"
"ytfT","","Inner membrane ABC transporter permease protein YtfT","3","3","1","74","4911","587","1","","1025","1025","1025","31P2R1A5_04909","","44P3R3A6_04334","","54P2R2A3_03982"
"ytfJ","","putative protein YtfJ","3","3","1","74","4896","558","1","","557","557","557","31P2R1A5_04930","","44P3R3A6_04352","","54P2R2A3_03966"
"rhaR_8","","HTH-type transcriptional activator RhaS","3","3","1","76","4","15","13","","815","815","815","31P2R1A5_04944","","44P3R3A6_04131","","54P2R2A3_02701"
"rhtC_2","","Threonine efflux protein","3","3","1","76","652","15","14","","662","662","662","31P2R1A5_04945","","44P3R3A6_04130","","54P2R2A3_02702"
"group_2247","","hypothetical protein","3","3","1","76","653","15","15","","1292","1292","1292","31P2R1A5_04946","","44P3R3A6_04129","","54P2R2A3_02703"
"hadI","","2-hydroxyisocaproyl-CoA dehydratase activator","3","3","1","76","659","15","51","","767","767","767","31P2R1A5_04950","","44P3R3A6_04125","","54P2R2A3_02707"
"group_2251","","hypothetical protein","3","3","1","76","731","15","1","","164","164","164","31P2R1A5_04959","","44P3R3A6_04116","","54P2R2A3_02712"
"fosA","","Glutathione transferase FosA","3","3","1","76","713","14","47","","419","419","419","31P2R1A5_04961","","44P3R3A6_04114","","54P2R2A3_02714"
"kefG","","Glutathione-regulated potassium-efflux system ancillary protein KefG","3","3","1","76","711","14","64","","782","782","782","31P2R1A5_04963","","44P3R3A6_04112","","54P2R2A3_02716"
"trpS2","","Tryptophan--tRNA ligase 2","3","3","1","76","696","14","59","","1007","1007","1007","31P2R1A5_04980","","44P3R3A6_04095","","54P2R2A3_02721"
"group_2260","","hypothetical protein","3","3","1","76","670","14","57","","1067","1067","1067","31P2R1A5_04982","","44P3R3A6_04093","","54P2R2A3_02722"
"yhhJ","","Inner membrane transport permease YhhJ","3","3","1","76","667","14","55","","1124","1124","1124","31P2R1A5_04984","","44P3R3A6_04091","","54P2R2A3_02724"
"oppF_4","","Oligopeptide transport ATP-binding protein OppF","3","3","1","74","1235","43","1","","704","704","704","31P2R1A5_05026","","44P3R3A6_01686","","54P2R2A3_03161"
"ivy","","Inhibitor of vertebrate lysozyme","3","3","1","74","1217","43","15","","446","446","446","31P2R1A5_05040","","44P3R3A6_01672","","54P2R2A3_03151"
"group_2273","gcvA_5","Glycine cleavage system transcriptional activator","3","3","1","74","1219","43","17","","893","893","893","31P2R1A5_05042","","44P3R3A6_01670","","54P2R2A3_03149"
"group_2274","","hypothetical protein","3","3","1","74","1220","43","18","","605","605","605","31P2R1A5_05043","","44P3R3A6_01669","","54P2R2A3_03148"
"gdh","","Galactitol 2-dehydrogenase","3","3","1","74","1221","43","19","","785","785","785","31P2R1A5_05044","","44P3R3A6_01668","","54P2R2A3_03147"
"fes","","Enterochelin esterase","3","3","1","74","1495","67","5","","1208","1208","1208","31P2R1A5_05056","","44P3R3A6_01656","","54P2R2A3_03135"
"entC","","Isochorismate synthase EntC","3","3","1","74","1503","67","8","","1175","1175","1175","31P2R1A5_05064","","44P3R3A6_01648","","54P2R2A3_03127"
"entA","","2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase","3","3","1","74","1209","381","1","","755","755","755","31P2R1A5_05067","","44P3R3A6_01645","","54P2R2A3_03124"
"entH","","Proofreading thioesterase EntH","3","3","1","74","1508","381","2","","413","413","413","31P2R1A5_05068","","44P3R3A6_01644","","54P2R2A3_03123"
"oprB","","Porin B","3","3","1","74","3820","73","6","","1364","1364","1364","31P2R1A5_05077","","44P3R3A6_01816","","54P2R2A3_00523"
"group_2286","","hypothetical protein","3","3","1","74","3818","73","4","","398","404","402","31P2R1A5_05079","","44P3R3A6_01818","","54P2R2A3_00525"
"cdd","","Cytidine deaminase","3","3","1","74","3816","73","2","","884","884","884","31P2R1A5_05081","","44P3R3A6_01820","","54P2R2A3_00527"
"cueO","","Blue copper oxidase CueO","3","3","1","76","280","247","1","","1586","1628","1604","31P2R1A5_03719","","44P3R3A6_03984","","54P2R2A3_04182"
"yeiG","","S-formylglutathione hydrolase YeiG","3","3","1","74","3801","433","2","","833","833","833","31P2R1A5_05091","","44P3R3A6_01830","","54P2R2A3_00535"
"fruA_3","","PTS system fructose-specific EIIB'BC component","3","3","1","74","3792","390","2","","1694","1694","1694","31P2R1A5_05097","","44P3R3A6_01836","","54P2R2A3_00541"
"setB","","Sugar efflux transporter B","3","3","1","74","3783","105","9","","1181","1181","1181","31P2R1A5_05100","","44P3R3A6_01839","","54P2R2A3_00544"
"group_2297","","hypothetical protein","3","3","1","74","6882","392","3","","665","665","665","31P2R1A5_05110","","44P3R3A6_04994","","54P2R2A3_01221"
"yhcO","","putative protein YhcO","3","3","1","74","6876","249","4","","275","275","275","31P2R1A5_05116","","44P3R3A6_04987","","54P2R2A3_01227"
"group_2302","","hypothetical protein","3","3","1","74","6863","404","2","","3797","3797","3797","31P2R1A5_05122","","44P3R3A6_04981","","54P2R2A3_01233"
"yhdE","","dTTP/UTP pyrophosphatase","3","3","1","74","6824","669","1","","581","581","581","31P2R1A5_05124","","44P3R3A6_04979","","54P2R2A3_01235"
"aroQ","","3-dehydroquinate dehydratase","3","3","1","74","6829","214","6","","452","452","452","31P2R1A5_05131","","44P3R3A6_04972","","54P2R2A3_01242"
"yhdT","","putative membrane protein YhdT","3","3","1","74","6845","237","7","","242","242","242","31P2R1A5_05134","","44P3R3A6_04969","51P2R2A10_05180",""
"prmA","","Ribosomal protein L11 methyltransferase","3","3","1","74","6850","237","5","","881","881","881","31P2R1A5_05136","","44P3R3A6_04967","","54P2R2A3_01247"
"group_2314","","hypothetical protein","3","3","1","80","39","460","2","","1532","1532","1532","31P2R1A5_05158","","44P3R3A6_05087","","54P2R2A3_04855"
"thiS","","Sulfur carrier protein ThiS","3","3","1","80","36","165","1","","200","200","200","31P2R1A5_05161","","44P3R3A6_05084","","54P2R2A3_04858"
"thiF","","Sulfur carrier protein ThiS adenylyltransferase","3","3","1","80","35","165","2","","755","755","755","31P2R1A5_05162","","44P3R3A6_05083","","54P2R2A3_04859"
"thiE","","Thiamine-phosphate synthase","3","3","1","80","34","165","3","","635","635","635","31P2R1A5_05163","","44P3R3A6_05082","","54P2R2A3_04860"
"group_2319","","hypothetical protein","3","3","1","80","26","220","6","","695","695","695","31P2R1A5_05171","","44P3R3A6_05074","","54P2R2A3_04868"
"purD","","Phosphoribosylamine--glycine ligase","3","3","1","80","21","220","1","","1295","1295","1295","31P2R1A5_05175","","44P3R3A6_05070","","54P2R2A3_04872"
"group_2323","umuD_3","Protein UmuD","3","3","1","74","8393","1","144","","419","419","419","31P2R1A5_05178","","44P3R3A6_03108","","54P2R2A3_02952"
"glcR_3","","HTH-type transcriptional repressor GlcR","3","3","1","74","7683","205","8","","761","761","761","31P2R1A5_05185","","44P3R3A6_01864","","54P2R2A3_00565"
"nudK_1","","GDP-mannose pyrophosphatase NudK","3","3","1","74","7682","205","7","","596","596","596","31P2R1A5_05186","","44P3R3A6_01863","","54P2R2A3_00564"
"rsuA","","Ribosomal small subunit pseudouridine synthase A","3","3","1","74","7674","118","2","","719","719","719","31P2R1A5_05191","","44P3R3A6_01858","","54P2R2A3_00559"
"group_2328","","hypothetical protein","3","3","1","74","3771","118","9","","1805","1805","1805","31P2R1A5_05197","","44P3R3A6_01851","","54P2R2A3_00553"
"por_2","","Polyol:NADP oxidoreductase","3","3","1","74","3776","105","5","","1466","1466","1466","31P2R1A5_05202","","44P3R3A6_01846","","54P2R2A3_00548"
"uxuA_1","","Mannonate dehydratase","3","3","1","74","3777","105","6","","1190","1331","1237","31P2R1A5_05203","","44P3R3A6_01845","","54P2R2A3_00547"
"group_2337","","hypothetical protein","3","3","1","79","46","628","1","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","278","278","278","31P2R1A5_05236","","44P3R3A6_05279","","54P2R2A3_04887"
"rsmB","","Ribosomal RNA small subunit methyltransferase B","3","3","1","79","65","287","4","","1295","1295","1295","31P2R1A5_05239","","44P3R3A6_05276","","54P2R2A3_04884"
"group_234","","hypothetical protein","3","3","1","74","6396","2","471","","230","230","230","31P2R1A5_03870","42P1R1A12_05603","","","54P2R2A3_04980"
"fmt","","Methionyl-tRNA formyltransferase","3","3","1","79","64","287","5","","947","947","947","31P2R1A5_05240","","44P3R3A6_05275","","54P2R2A3_04883"
"tsaC","","Threonylcarbamoyl-AMP synthase","3","3","1","79","58","204","2","","572","572","572","31P2R1A5_05245","","44P3R3A6_05270","","54P2R2A3_04878"
"group_2343","","hypothetical protein","3","3","1","79","56","204","4","","257","257","257","31P2R1A5_05247","","44P3R3A6_05268","","54P2R2A3_04876"
"group_2346","","hypothetical protein","3","3","1","75","698","55","14","","863","863","863","31P2R1A5_05259","","44P3R3A6_02497","","54P2R2A3_04961"
"bcr_3","","Bicyclomycin resistance protein","3","3","1","75","693","55","9","","1163","1163","1163","31P2R1A5_05264","","44P3R3A6_02492","","54P2R2A3_04956"
"group_2349","","Acetyltransferase","3","3","1","75","689","30","25","","416","416","416","31P2R1A5_05268","","44P3R3A6_02488","","54P2R2A3_04952"
"group_235","","hypothetical protein","3","3","1","74","6349","2","605","","254","305","271","31P2R1A5_03881","","44P3R3A6_05483","","54P2R2A3_04808"
"group_2350","","hypothetical protein","3","3","1","81","23","29","7","","524","524","524","31P2R1A5_05272","","44P3R3A6_05400","","54P2R2A3_05013"
"group_2351","","hypothetical protein","3","3","1","81","22","29","8","","485","485","485","31P2R1A5_05273","","44P3R3A6_05399","","54P2R2A3_05012"
"group_2352","","hypothetical protein","3","3","1","81","19","29","11","","1259","1259","1259","31P2R1A5_05276","","44P3R3A6_05396","","54P2R2A3_05009"
"group_2353","","hypothetical protein","3","3","1","81","18","29","12","","719","719","719","31P2R1A5_05277","","44P3R3A6_05395","","54P2R2A3_05008"
"cusC_3","","Cation efflux system protein CusC","3","3","1","81","9","29","21","","1385","1493","1457","31P2R1A5_05285","","44P3R3A6_05387","","54P2R2A3_05000"
"cusS","","Sensor histidine kinase CusS","3","3","1","81","7","29","23","","1433","1433","1433","31P2R1A5_05287","","44P3R3A6_05385","","54P2R2A3_04998"
"group_2356","","hypothetical protein","3","3","1","74","6061","2","501","","494","494","494","31P2R1A5_05290","42P1R1A12_05573","","","54P2R2A3_04769"
"potA_4","","Spermidine/putrescine import ATP-binding protein PotA","3","3","1","74","7543","549","1","","1136","1265","1222","31P2R1A5_05300","","44P3R3A6_03172","","54P2R2A3_04715"
"group_2361","betB_2","hypothetical protein","3","3","1","74","7533","371","1","","1724","1724","1724","31P2R1A5_05304","","44P3R3A6_03176","","54P2R2A3_04711"
"dmdB","","3-methylmercaptopropionyl-CoA ligase","3","3","1","74","7532","371","2","","1628","1628","1628","31P2R1A5_05305","","44P3R3A6_03177","","54P2R2A3_04710"
"murB","","UDP-N-acetylenolpyruvoylglucosamine reductase","3","3","1","87","5","397","1","","1028","1028","1028","31P2R1A5_05310","","44P3R3A6_05534","","54P2R2A3_05112"
"group_237","","hypothetical protein","3","3","1","74","6255","2","127","","989","992","990","31P2R1A5_03946","","44P3R3A6_05327","","54P2R2A3_04939"
"traN","","Mating pair stabilization protein TraN","3","3","1","74","6248","2","125","","1955","1955","1955","31P2R1A5_03953","","44P3R3A6_05325","","54P2R2A3_04941"
"group_239","","hypothetical protein","3","3","1","74","6236","2","114","","557","572","562","31P2R1A5_03960","","44P3R3A6_05319","","54P2R2A3_04947"
"group_242","","hypothetical protein","3","3","1","74","6199","2","75","","857","857","857","31P2R1A5_03976","42P1R1A12_05880","","","54P2R2A3_05016"
"group_245","","hypothetical protein","3","3","1","74","5895","1","28","","356","356","356","31P2R1A5_04112","","44P3R3A6_03069","","54P2R2A3_04755"
"melD","","Melibiose/raffinose/stachyose import permease protein MelD","3","3","1","74","5732","106","12","","941","941","941","","42P1R1A12_00431","44P3R3A6_01070","51P2R2A10_00325",""
