"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","18P3R3A11","37P2R3-2A1","38P2R3A13","47P2R3A6","52P2R3A10","56P2R2A4"
"gmm","","GDP-mannose mannosyl hydrolase","6","6","1","166","6091","","","","479","482","480","18P3R3A11_04521","37P2R3-2A1_03687","38P2R3A13_01475","47P2R3A6_00422","52P2R3A10_02086","56P2R2A4_01804"
"group_423","","hypothetical protein","6","6","1","166","962","","","","758","824","802","18P3R3A11_00459","37P2R3-2A1_00446","38P2R3A13_00570","47P2R3A6_02063","52P2R3A10_00566","56P2R2A4_02102"
"group_425","","putative ketoamine kinase","6","6","1","166","973","","","","860","860","860","18P3R3A11_00462","37P2R3-2A1_00443","38P2R3A13_00573","47P2R3A6_02066","52P2R3A10_00569","56P2R2A4_02105"
"ydjM","","Inner membrane protein YdjM","6","6","1","166","977","","","","590","590","590","18P3R3A11_00466","37P2R3-2A1_00439","38P2R3A13_00576","47P2R3A6_02070","52P2R3A10_00572","56P2R2A4_02108"
"katE","","Catalase HPII","6","6","1","166","981","","","","2249","2249","2249","18P3R3A11_00469","37P2R3-2A1_00436","38P2R3A13_00579","47P2R3A6_02073","52P2R3A10_00575","56P2R2A4_02111"
"chbF","","6-phospho-beta-glucosidase","6","6","1","166","983","","","","1355","1355","1355","18P3R3A11_00471","37P2R3-2A1_00434","38P2R3A13_00581","47P2R3A6_02075","52P2R3A10_00577","56P2R2A4_02113"
"chbA_1","","PTS system N,N'-diacetylchitobiose-specific EIIA component","6","6","1","166","985","","","","347","347","347","18P3R3A11_00473","37P2R3-2A1_00432","38P2R3A13_00583","47P2R3A6_02077","52P2R3A10_00579","56P2R2A4_02115"
"nadE","","NH(3)-dependent NAD(+) synthetase","6","6","1","166","997","","","","827","827","827","18P3R3A11_00477","37P2R3-2A1_00428","38P2R3A13_00587","47P2R3A6_02081","52P2R3A10_00583","56P2R2A4_02119"
"msrB","","Peptide methionine sulfoxide reductase MsrB","6","6","1","166","1029","","","","413","413","413","18P3R3A11_00505","37P2R3-2A1_00399","38P2R3A13_00614","47P2R3A6_02110","52P2R3A10_00610","56P2R2A4_02146"
"nudJ","","Phosphatase NudJ","6","6","1","166","1058","","","","473","473","473","18P3R3A11_00529","37P2R3-2A1_00377","38P2R3A13_00639","47P2R3A6_02137","52P2R3A10_00635","56P2R2A4_02170"
"ycfH","","putative metal-dependent hydrolase YcfH","6","6","1","166","1135","","","","794","794","794","18P3R3A11_00562","37P2R3-2A1_00344","38P2R3A13_00672","47P2R3A6_02175","52P2R3A10_00668","56P2R2A4_02204"
"mltG","","Endolytic murein transglycosylase","6","6","1","166","1141","","","","1022","1022","1022","18P3R3A11_00565","37P2R3-2A1_00341","38P2R3A13_00675","47P2R3A6_02178","52P2R3A10_00671","56P2R2A4_02207"
"fabF_1","","3-oxoacyl-[acyl-carrier-protein] synthase 2","6","6","1","166","1143","","","","1241","1241","1241","18P3R3A11_00567","37P2R3-2A1_00339","38P2R3A13_00677","47P2R3A6_02180","52P2R3A10_00673","56P2R2A4_02209"
"fabD_1","","Malonyl CoA-acyl carrier protein transacylase","6","6","1","166","1146","","","","929","929","929","18P3R3A11_00570","37P2R3-2A1_00336","38P2R3A13_00680","47P2R3A6_02183","52P2R3A10_00676","56P2R2A4_02212"
"rluC","","Ribosomal large subunit pseudouridine synthase C","6","6","1","166","1155","","","","920","947","929","18P3R3A11_00576","37P2R3-2A1_00330","38P2R3A13_00686","47P2R3A6_02189","52P2R3A10_00682","56P2R2A4_02218"
"rimJ","","[Ribosomal protein S5]-alanine N-acetyltransferase","6","6","1","166","1178","","","","584","584","584","18P3R3A11_00597","37P2R3-2A1_00309","38P2R3A13_00707","47P2R3A6_02211","52P2R3A10_00703","56P2R2A4_02239"
"mdoH","","Glucans biosynthesis glucosyltransferase H","6","6","1","166","7721","","","","2528","2528","2528","18P3R3A11_00644","37P2R3-2A1_00294","38P2R3A13_00721","47P2R3A6_02225","52P2R3A10_00717","56P2R2A4_02253"
"narH","","Respiratory nitrate reductase 1 beta chain","6","6","1","166","3078","","","","1535","1535","1535","18P3R3A11_00666","37P2R3-2A1_01179","38P2R3A13_02643","47P2R3A6_00829","52P2R3A10_03374","56P2R2A4_00287"
"narJ","","Nitrate reductase molybdenum cofactor assembly chaperone NarJ","6","6","1","166","3079","","","","710","710","710","18P3R3A11_00667","37P2R3-2A1_01178","38P2R3A13_02644","47P2R3A6_00830","52P2R3A10_03375","56P2R2A4_00288"
"sohB","","putative protease SohB","6","6","1","166","3218","","","","1046","1046","1046","18P3R3A11_00721","37P2R3-2A1_01120","38P2R3A13_02692","47P2R3A6_00935","52P2R3A10_03423","56P2R2A4_00398"
"yciN","","Protein YciN","6","6","1","166","3219","","","","251","251","251","18P3R3A11_00722","37P2R3-2A1_01119","38P2R3A13_02693","47P2R3A6_00936","52P2R3A10_03424","56P2R2A4_00399"
"acnA","","Aconitate hydratase A","6","6","1","166","3223","","","","2675","2675","2675","18P3R3A11_00726","37P2R3-2A1_01115","38P2R3A13_02697","47P2R3A6_00940","52P2R3A10_03428","56P2R2A4_00403"
"sapB","","Putrescine export system permease protein SapB","6","6","1","166","3261","","","","965","965","965","18P3R3A11_00750","37P2R3-2A1_01091","38P2R3A13_02720","47P2R3A6_00963","52P2R3A10_03450","56P2R2A4_00426"
"sapA","","Peptide transport periplasmic protein SapA","6","6","1","166","3262","","","","1640","1640","1640","18P3R3A11_00751","37P2R3-2A1_01090","38P2R3A13_02721","47P2R3A6_00964","52P2R3A10_03451","56P2R2A4_00427"
"tyrR","","Transcriptional regulatory protein TyrR","6","6","1","166","3287","","","","1541","1565","1549","18P3R3A11_00771","37P2R3-2A1_01070","38P2R3A13_02741","47P2R3A6_00984","52P2R3A10_03471","56P2R2A4_00447"
"syd","","Protein Syd","6","6","1","166","4555","","","","341","545","443","18P3R3A11_00909","37P2R3-2A1_02759","38P2R3A13_02071","47P2R3A6_01780","52P2R3A10_02557","56P2R2A4_02678"
"sdaC","","Serine transporter","6","6","1","166","4558","","","","1289","1295","1293","18P3R3A11_00912","37P2R3-2A1_02756","38P2R3A13_02074","47P2R3A6_01777","52P2R3A10_02560","56P2R2A4_02675"
"sdaB","","L-serine dehydratase 2","6","6","1","166","4559","","","","1367","1367","1367","18P3R3A11_00913","37P2R3-2A1_02755","38P2R3A13_02075","47P2R3A6_01776","52P2R3A10_02561","56P2R2A4_02674"
"gcvA_3","","Glycine cleavage system transcriptional activator","6","6","1","166","4563","","","","824","917","839","18P3R3A11_00917","37P2R3-2A1_02751","38P2R3A13_02079","47P2R3A6_01772","52P2R3A10_02565","56P2R2A4_02670"
"amiC_2","","N-acetylmuramoyl-L-alanine amidase AmiC","6","6","1","166","4572","","","","1196","1253","1234","18P3R3A11_00926","37P2R3-2A1_02743","38P2R3A13_02088","47P2R3A6_01763","52P2R3A10_02574","56P2R2A4_02661"
"ygdR_2","","putative lipoprotein YgdR","6","6","1","166","4603","","","","218","218","218","18P3R3A11_00939","37P2R3-2A1_02730","38P2R3A13_02103","47P2R3A6_01748","52P2R3A10_02589","56P2R2A4_02646"
"recJ","","Single-stranded-DNA-specific exonuclease RecJ","6","6","1","166","3981","","","","1733","1733","1733","18P3R3A11_01003","37P2R3-2A1_02663","38P2R3A13_05993","47P2R3A6_01692","52P2R3A10_04074","56P2R2A4_03365"
"dsbC","","Thiol:disulfide interchange protein DsbC","6","6","1","166","3980","","","","713","713","713","18P3R3A11_01004","37P2R3-2A1_02662","38P2R3A13_05992","47P2R3A6_01691","52P2R3A10_04075","56P2R2A4_03364"
"xerD","","Tyrosine recombinase XerD","6","6","1","166","3979","","","","896","896","896","18P3R3A11_01005","37P2R3-2A1_02661","38P2R3A13_05991","47P2R3A6_01690","52P2R3A10_04076","56P2R2A4_03363"
"fldB","","Flavodoxin 2","6","6","1","166","3978","","","","521","521","521","18P3R3A11_01006","37P2R3-2A1_02660","38P2R3A13_05990","47P2R3A6_01689","52P2R3A10_04077","56P2R2A4_03362"
"glvR","","HTH-type transcriptional regulator GlvR","6","6","1","166","1949","","","","731","731","731","18P3R3A11_01011","37P2R3-2A1_02655","38P2R3A13_05984","47P2R3A6_01684","52P2R3A10_04083","56P2R2A4_03356"
"bglA_3","","6-phospho-beta-glucosidase BglA","6","6","1","166","1950","","","","1433","1433","1433","18P3R3A11_01012","37P2R3-2A1_02654","38P2R3A13_05983","47P2R3A6_01683","52P2R3A10_04084","56P2R2A4_03355"
"ubiI","","2-octaprenylphenol hydroxylase","6","6","1","166","1958","","","","1202","1202","1202","18P3R3A11_01021","37P2R3-2A1_02645","38P2R3A13_05978","47P2R3A6_01678","52P2R3A10_04089","56P2R2A4_03350"
"pepP","","Xaa-Pro aminopeptidase","6","6","1","166","1965","","","","1319","1319","1319","18P3R3A11_01023","37P2R3-2A1_02643","38P2R3A13_05976","47P2R3A6_01676","52P2R3A10_04091","56P2R2A4_03348"
"group_637","","26 kDa periplasmic immunogenic protein","6","6","1","166","1972","","","","731","740","737","18P3R3A11_01030","37P2R3-2A1_02636","38P2R3A13_04805","47P2R3A6_01669","52P2R3A10_04098","56P2R2A4_03341"
"sprT","","Protein SprT","6","6","1","166","2002","","","","455","497","462","18P3R3A11_01058","37P2R3-2A1_02608","38P2R3A13_04818","47P2R3A6_01641","52P2R3A10_04111","56P2R2A4_03328"
"endA","","Endonuclease-1","6","6","1","166","2010","","","","707","707","707","18P3R3A11_01059","37P2R3-2A1_02607","38P2R3A13_04819","47P2R3A6_01640","52P2R3A10_04112","56P2R2A4_03327"
"group_643","","hypothetical protein","6","6","1","166","2018","","","","566","566","566","18P3R3A11_01066","37P2R3-2A1_02600","38P2R3A13_04826","47P2R3A6_01633","52P2R3A10_04119","56P2R2A4_03320"
"group_644","","hypothetical protein","6","6","1","166","2019","","","","296","296","296","18P3R3A11_01067","37P2R3-2A1_02599","38P2R3A13_04827","47P2R3A6_01632","52P2R3A10_04120","56P2R2A4_03319"
"hemW","","Heme chaperone HemW","6","6","1","166","2021","","","","1142","1142","1142","18P3R3A11_01069","37P2R3-2A1_02597","38P2R3A13_04829","47P2R3A6_01630","52P2R3A10_04122","56P2R2A4_03317"
"nupG","","Nucleoside permease NupG","6","6","1","166","2035","","","","1256","1256","1256","18P3R3A11_01077","37P2R3-2A1_02589","38P2R3A13_04837","47P2R3A6_01622","52P2R3A10_04130","56P2R2A4_03309"
"ogt","","Methylated-DNA--protein-cysteine methyltransferase","6","6","1","166","5157","","","","515","515","515","18P3R3A11_00321","37P2R3-2A1_00595","38P2R3A13_00438","47P2R3A6_01918","52P2R3A10_00437","56P2R2A4_01969"
"group_650","","putative protein","6","6","1","166","2042","","","","863","863","863","18P3R3A11_01084","37P2R3-2A1_02582","38P2R3A13_04844","47P2R3A6_01615","52P2R3A10_04137","56P2R2A4_03302"
"exbD","","Biopolymer transport protein ExbD","6","6","1","166","2070","","","","425","425","425","18P3R3A11_01112","37P2R3-2A1_02548","38P2R3A13_04608","47P2R3A6_01593","52P2R3A10_03795","56P2R2A4_03274"
"exbB","","Biopolymer transport protein ExbB","6","6","1","166","1906","","","","731","731","731","18P3R3A11_01113","37P2R3-2A1_02547","38P2R3A13_04609","47P2R3A6_01592","52P2R3A10_03794","56P2R2A4_03273"
"metC_2","","Cystathionine beta-lyase MetC","6","6","1","166","1905","","","","1187","1187","1187","18P3R3A11_01114","37P2R3-2A1_02546","38P2R3A13_04610","47P2R3A6_01591","52P2R3A10_03793","56P2R2A4_03272"
"rhaS_3","","HTH-type transcriptional activator RhaS","6","6","1","166","1903","","","","899","899","899","18P3R3A11_01116","37P2R3-2A1_02544","38P2R3A13_04612","47P2R3A6_01589","52P2R3A10_03791","56P2R2A4_03270"
"dkgA","","2,5-diketo-D-gluconic acid reductase A","6","6","1","166","1901","","","","827","827","827","18P3R3A11_01118","37P2R3-2A1_02542","38P2R3A13_04614","47P2R3A6_01587","52P2R3A10_03789","56P2R2A4_03268"
"ydgK","","Inner membrane protein YdgK","6","6","1","166","5104","","","","440","440","440","18P3R3A11_00345","37P2R3-2A1_00568","38P2R3A13_00462","47P2R3A6_01942","52P2R3A10_00461","56P2R2A4_01996"
"dtpA","","Dipeptide and tripeptide permease A","6","6","1","166","5095","","","","1508","1508","1508","18P3R3A11_00353","37P2R3-2A1_00560","38P2R3A13_00470","47P2R3A6_01950","52P2R3A10_00469","56P2R2A4_02004"
"rsfS","","Ribosomal silencing factor RsfS","6","6","1","166","7514","","","","317","437","397","18P3R3A11_01245","37P2R3-2A1_01576","38P2R3A13_04268","47P2R3A6_03152","52P2R3A10_01162","56P2R2A4_01004"
"kdpC","","Potassium-transporting ATPase KdpC subunit","6","6","1","166","7565","","","","575","575","575","18P3R3A11_01288","37P2R3-2A1_01619","38P2R3A13_04310","47P2R3A6_03109","52P2R3A10_01118","56P2R2A4_01047"
"holA","","DNA polymerase III subunit delta","6","6","1","166","7516","","","","1031","1034","1032","18P3R3A11_01247","37P2R3-2A1_01578","38P2R3A13_04270","47P2R3A6_03150","52P2R3A10_01160","56P2R2A4_01006"
"group_704","","hypothetical protein","6","6","1","166","7525","","","","485","485","485","18P3R3A11_01250","37P2R3-2A1_01581","38P2R3A13_04273","47P2R3A6_03147","52P2R3A10_01157","56P2R2A4_01009"
"lnt","","Apolipoprotein N-acyltransferase","6","6","1","166","7531","","","","1538","1538","1538","18P3R3A11_01256","37P2R3-2A1_01587","38P2R3A13_04279","47P2R3A6_03141","52P2R3A10_01151","56P2R2A4_01015"
"corC","","Magnesium and cobalt efflux protein CorC","6","6","1","166","7532","","","","878","923","900","18P3R3A11_01257","37P2R3-2A1_01588","38P2R3A13_04280","47P2R3A6_03140","52P2R3A10_01150","56P2R2A4_01016"
"nagC","","N-acetylglucosamine repressor","6","6","1","166","7542","","","","1220","1220","1220","18P3R3A11_01271","37P2R3-2A1_01602","38P2R3A13_04293","47P2R3A6_03126","52P2R3A10_01136","56P2R2A4_01030"
"nagA","","N-acetylglucosamine-6-phosphate deacetylase","6","6","1","166","7543","","","","1148","1148","1148","18P3R3A11_01272","37P2R3-2A1_01603","38P2R3A13_04294","47P2R3A6_03125","52P2R3A10_01135","56P2R2A4_01031"
"fur","","Ferric uptake regulation protein","6","6","1","166","7555","","","","446","446","446","18P3R3A11_01278","37P2R3-2A1_01609","38P2R3A13_04300","47P2R3A6_03119","52P2R3A10_01128","56P2R2A4_01037"
"seqA","","Negative modulator of initiation of replication","6","6","1","166","7559","","","","548","548","548","18P3R3A11_01282","37P2R3-2A1_01613","38P2R3A13_04304","47P2R3A6_03115","52P2R3A10_01124","56P2R2A4_01041"
"speF","","Inducible ornithine decarboxylase","6","6","1","166","7562","","","","2198","2198","2198","18P3R3A11_01285","37P2R3-2A1_01616","38P2R3A13_04307","47P2R3A6_03112","52P2R3A10_01121","56P2R2A4_01044"
"kdpD","","Sensor protein KdpD","6","6","1","166","7564","","","","2687","2687","2687","18P3R3A11_01287","37P2R3-2A1_01618","38P2R3A13_04309","47P2R3A6_03110","52P2R3A10_01119","56P2R2A4_01046"
"cpoB","","Cell division coordinator CpoB","6","6","1","166","7599","","","","794","794","794","18P3R3A11_01320","37P2R3-2A1_01651","38P2R3A13_04779","47P2R3A6_03077","52P2R3A10_01086","56P2R2A4_01076"
"nadA","","Quinolinate synthase A","6","6","1","166","7600","","","","1043","1043","1043","18P3R3A11_01326","37P2R3-2A1_01657","38P2R3A13_04773","47P2R3A6_03071","52P2R3A10_01080","56P2R2A4_01082"
"pnuC","","Nicotinamide riboside transporter PnuC","6","6","1","166","7601","","","","719","719","719","18P3R3A11_01327","37P2R3-2A1_01658","38P2R3A13_04772","47P2R3A6_03070","52P2R3A10_01079","56P2R2A4_01083"
"gpmA","","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase","6","6","1","166","7608","","","","752","752","752","18P3R3A11_01331","37P2R3-2A1_01662","38P2R3A13_04768","47P2R3A6_03066","52P2R3A10_01075","56P2R2A4_01087"
"ymiA","","Protein YmiA","6","6","1","166","3222","","","","128","128","128","18P3R3A11_00725","37P2R3-2A1_01116","38P2R3A13_02696","47P2R3A6_00939","52P2R3A10_03427","56P2R2A4_00402"
"group_746","","hypothetical protein","6","6","1","167","966","","","","1403","1403","1403","18P3R3A11_01371","37P2R3-2A1_02156","38P2R3A13_02172","47P2R3A6_02723","52P2R3A10_03054","56P2R2A4_02570"
"group_749","","hypothetical protein","6","6","1","167","981","","","","758","758","758","18P3R3A11_01386","37P2R3-2A1_02170","38P2R3A13_02165","47P2R3A6_02711","52P2R3A10_03047","56P2R2A4_02561"
"yjjP","","Inner membrane protein YjjP","6","6","1","167","551","","","","773","776","775","18P3R3A11_01475","37P2R3-2A1_02285","38P2R3A13_02487","47P2R3A6_02626","52P2R3A10_02159","56P2R2A4_02483"
"slt","","Soluble lytic murein transglycosylase","6","6","1","167","507","","","","1937","1937","1937","18P3R3A11_01508","37P2R3-2A1_02319","38P2R3A13_02521","47P2R3A6_02584","52P2R3A10_02192","56P2R2A4_02449"
"trpR","","Trp operon repressor","6","6","1","167","506","","","","329","329","329","18P3R3A11_01509","37P2R3-2A1_02320","38P2R3A13_02522","47P2R3A6_02583","52P2R3A10_02193","56P2R2A4_02448"
"talB","","Transaldolase B","6","6","1","167","476","","","","953","953","953","18P3R3A11_01525","37P2R3-2A1_02336","38P2R3A13_02538","47P2R3A6_02567","52P2R3A10_02209","56P2R2A4_02432"
"proP_1","","Proline/betaine transporter","6","6","1","167","474","","","","1322","1322","1322","18P3R3A11_01527","37P2R3-2A1_02338","38P2R3A13_02540","47P2R3A6_02565","52P2R3A10_02211","56P2R2A4_02430"
"satP","","Succinate-acetate/proton symporter SatP","6","6","1","167","473","","","","566","566","566","18P3R3A11_01528","37P2R3-2A1_02339","38P2R3A13_02541","47P2R3A6_02564","52P2R3A10_02212","56P2R2A4_02429"
"ribF","","Bifunctional riboflavin kinase/FMN adenylyltransferase","6","6","1","167","466","","","","926","938","928","18P3R3A11_01534","37P2R3-2A1_02346","38P2R3A13_02547","47P2R3A6_02558","52P2R3A10_02218","56P2R2A4_02423"
"ileS","","Isoleucine--tRNA ligase","6","6","1","167","465","","","","2816","2816","2816","18P3R3A11_01535","37P2R3-2A1_02347","38P2R3A13_02548","47P2R3A6_02557","52P2R3A10_02219","56P2R2A4_02422"
"kefF","","Glutathione-regulated potassium-efflux system ancillary protein KefF","6","6","1","167","444","","","","530","530","530","18P3R3A11_01543","37P2R3-2A1_02355","38P2R3A13_02556","47P2R3A6_02541","52P2R3A10_02227","56P2R2A4_02414"
"apaH","","Bis(5'-nucleosyl)-tetraphosphatase, symmetrical","6","6","1","167","440","","","","848","848","848","18P3R3A11_01546","37P2R3-2A1_02358","38P2R3A13_02559","47P2R3A6_02538","52P2R3A10_02230","56P2R2A4_02411"
"surA","","Chaperone SurA","6","6","1","167","436","","","","1286","1286","1286","18P3R3A11_01550","37P2R3-2A1_02362","38P2R3A13_02563","47P2R3A6_02534","52P2R3A10_02234","56P2R2A4_02407"
"djlA","","Co-chaperone protein DjlA","6","6","1","167","429","","","","815","815","815","18P3R3A11_01552","37P2R3-2A1_02364","38P2R3A13_02565","47P2R3A6_02532","52P2R3A10_02236","56P2R2A4_02405"
"rluA_2","","Dual-specificity RNA pseudouridine synthase RluA","6","6","1","167","428","","","","659","659","659","18P3R3A11_01553","37P2R3-2A1_02365","38P2R3A13_02566","47P2R3A6_02531","52P2R3A10_02237","56P2R2A4_02404"
"group_817","","hypothetical protein","6","6","1","166","5881","","","","227","242","229","18P3R3A11_01593","37P2R3-2A1_03784","38P2R3A13_01584","47P2R3A6_00563","52P2R3A10_01803","56P2R2A4_00040"
"fliR","","Flagellar biosynthetic protein FliR","6","6","1","166","2582","","","","785","785","785","18P3R3A11_01596","37P2R3-2A1_03787","38P2R3A13_01587","47P2R3A6_00566","52P2R3A10_01800","56P2R2A4_00043"
"fliP","","Flagellar biosynthetic protein FliP","6","6","1","166","2584","","","","737","737","737","18P3R3A11_01598","37P2R3-2A1_03789","38P2R3A13_01589","47P2R3A6_00568","52P2R3A10_01798","56P2R2A4_00045"
"fliM","","Flagellar motor switch protein FliM","6","6","1","166","2588","","","","1004","1004","1004","18P3R3A11_01601","37P2R3-2A1_03792","38P2R3A13_01592","47P2R3A6_00571","52P2R3A10_01795","56P2R2A4_00048"
"group_824","","hypothetical protein","6","6","1","166","2589","","","","470","470","470","18P3R3A11_01602","37P2R3-2A1_03793","38P2R3A13_01593","47P2R3A6_00572","52P2R3A10_01794","56P2R2A4_00049"
"fliY_1","","L-cystine-binding protein FliY","6","6","1","166","2642","","","","800","800","800","18P3R3A11_01618","37P2R3-2A1_03004","38P2R3A13_01610","47P2R3A6_00605","52P2R3A10_01777","56P2R2A4_00066"
"group_828","artM_1","Arginine transport ATP-binding protein ArtM","6","6","1","166","2645","","","","752","752","752","18P3R3A11_01621","37P2R3-2A1_03007","38P2R3A13_01613","47P2R3A6_00608","52P2R3A10_01774","56P2R2A4_00069"
"flhD","","Flagellar transcriptional regulator FlhD","6","6","1","166","2702","","","","350","350","350","18P3R3A11_01650","37P2R3-2A1_03036","38P2R3A13_01841","47P2R3A6_00643","52P2R3A10_01722","56P2R2A4_00098"
"motB","","Motility protein B","6","6","1","166","2705","","","","929","929","929","18P3R3A11_01653","37P2R3-2A1_03039","38P2R3A13_01838","47P2R3A6_00646","52P2R3A10_01719","56P2R2A4_00101"
"yecM","","Protein YecM","6","6","1","166","2726","","","","560","560","560","18P3R3A11_01678","37P2R3-2A1_03064","38P2R3A13_01813","47P2R3A6_00667","52P2R3A10_01694","56P2R2A4_00126"
"aspS","","Aspartate--tRNA ligase","6","6","1","166","2739","","","","1772","1787","1774","18P3R3A11_01685","37P2R3-2A1_03071","38P2R3A13_01806","47P2R3A6_00674","52P2R3A10_01687","56P2R2A4_00133"
"group_85","","hypothetical protein","6","6","1","166","1966","","","","578","584","581","18P3R3A11_01024","37P2R3-2A1_02642","38P2R3A13_05975","47P2R3A6_01675","52P2R3A10_04092","56P2R2A4_03347"
"mepM","","Murein DD-endopeptidase MepM","6","6","1","166","2749","","","","1319","1319","1319","18P3R3A11_01694","37P2R3-2A1_03080","38P2R3A13_01797","47P2R3A6_00683","52P2R3A10_01678","56P2R2A4_00142"
"hexR","","HTH-type transcriptional regulator HexR","6","6","1","166","2752","","","","869","887","872","18P3R3A11_01697","37P2R3-2A1_03083","38P2R3A13_01794","47P2R3A6_00686","52P2R3A10_01675","56P2R2A4_00145"
"edd","","Phosphogluconate dehydratase","6","6","1","166","2754","","","","1811","1811","1811","18P3R3A11_01699","37P2R3-2A1_03085","38P2R3A13_01792","47P2R3A6_00688","52P2R3A10_01673","56P2R2A4_00147"
"yebT","","Intermembrane transport protein YebT","6","6","1","166","2845","","","","2633","2633","2633","18P3R3A11_01726","37P2R3-2A1_03100","38P2R3A13_01722","47P2R3A6_00703","52P2R3A10_01603","56P2R2A4_00163"
"yebS","","Intermembrane transport protein YebS","6","6","1","166","2846","","","","1283","1283","1283","18P3R3A11_01727","37P2R3-2A1_03101","38P2R3A13_01721","47P2R3A6_00704","52P2R3A10_01602","56P2R2A4_00164"
"ftsI_1","","Peptidoglycan D,D-transpeptidase FtsI","6","6","1","166","2866","","","","1706","1718","1716","18P3R3A11_01738","37P2R3-2A1_03112","38P2R3A13_01709","47P2R3A6_00716","52P2R3A10_01591","56P2R2A4_00175"
"mntP","","putative manganese efflux pump MntP","6","6","1","166","2872","","","","566","566","566","18P3R3A11_01740","37P2R3-2A1_03114","38P2R3A13_01707","47P2R3A6_00718","52P2R3A10_01589","56P2R2A4_00177"
"group_869","","hypothetical protein","6","6","1","166","2878","","","","1559","1559","1559","18P3R3A11_01745","37P2R3-2A1_03119","38P2R3A13_01702","47P2R3A6_00723","52P2R3A10_01584","56P2R2A4_00182"
"trmB","","tRNA (guanine-N(7)-)-methyltransferase","6","6","1","166","2026","","","","719","719","719","18P3R3A11_01073","37P2R3-2A1_02593","38P2R3A13_04833","47P2R3A6_01626","52P2R3A10_04126","56P2R2A4_03313"
"ycgL","","Protein YcgL","6","6","1","166","2901","","","","275","275","275","18P3R3A11_01760","37P2R3-2A1_03134","38P2R3A13_01687","47P2R3A6_00738","52P2R3A10_01569","56P2R2A4_00197"
"ycgM","","putative protein YcgM","6","6","1","166","2903","","","","659","659","659","18P3R3A11_01761","37P2R3-2A1_03135","38P2R3A13_01686","47P2R3A6_00739","52P2R3A10_01568","56P2R2A4_00198"
"dsbB","","Disulfide bond formation protein B","6","6","1","166","2906","","","","479","530","513","18P3R3A11_01763","37P2R3-2A1_03137","38P2R3A13_01684","47P2R3A6_00741","52P2R3A10_01566","56P2R2A4_00200"
"fadR","","Fatty acid metabolism regulator protein","6","6","1","166","2908","","","","719","719","719","18P3R3A11_01765","37P2R3-2A1_03139","38P2R3A13_01682","47P2R3A6_00743","52P2R3A10_01564","56P2R2A4_00202"
"rsmJ","","Ribosomal RNA small subunit methyltransferase J","6","6","1","169","525","","","","752","803","774","18P3R3A11_01777","37P2R3-2A1_02965","38P2R3A13_02432","47P2R3A6_03966","52P2R3A10_03314","56P2R2A4_03084"
"group_882","","putative protein","6","6","1","169","529","","","","1196","1280","1210","18P3R3A11_01781","37P2R3-2A1_02961","38P2R3A13_02428","47P2R3A6_03962","52P2R3A10_03310","56P2R2A4_03090"
"alx_1","","Putative membrane-bound redox modulator Alx","6","6","1","169","561","","","","1025","1028","1025","18P3R3A11_01786","37P2R3-2A1_02956","38P2R3A13_02422","47P2R3A6_03956","52P2R3A10_03304","56P2R2A4_03096"
"mutY","","Adenine DNA glycosylase","6","6","1","166","2027","","","","1058","1058","1058","18P3R3A11_01074","37P2R3-2A1_02592","38P2R3A13_04834","47P2R3A6_01625","52P2R3A10_04127","56P2R2A4_03312"
"rpoH","","RNA polymerase sigma factor RpoH","6","6","1","169","394","","","","857","857","857","18P3R3A11_01832","37P2R3-2A1_02910","38P2R3A13_03083","47P2R3A6_03908","52P2R3A10_03525","56P2R2A4_03742"
"puuE","","4-aminobutyrate aminotransferase PuuE","6","6","1","169","392","","","","1265","1265","1265","18P3R3A11_01833","37P2R3-2A1_02909","38P2R3A13_03084","47P2R3A6_03907","52P2R3A10_03526","56P2R2A4_03741"
"livK","","Leucine-specific-binding protein","6","6","1","169","389","","","","1109","1109","1109","18P3R3A11_01836","37P2R3-2A1_02906","38P2R3A13_03087","47P2R3A6_03904","52P2R3A10_03529","56P2R2A4_03738"
"ugpB","","sn-glycerol-3-phosphate-binding periplasmic protein UgpB","6","6","1","169","384","","","","1316","1316","1316","18P3R3A11_01841","37P2R3-2A1_02901","38P2R3A13_03092","47P2R3A6_03899","52P2R3A10_03534","56P2R2A4_03733"
"ugpA","","sn-glycerol-3-phosphate transport system permease protein UgpA","6","6","1","169","383","","","","887","917","897","18P3R3A11_01842","37P2R3-2A1_02900","38P2R3A13_03093","47P2R3A6_03898","52P2R3A10_03535","56P2R2A4_03732"
"glgB_2","","1,4-alpha-glucan branching enzyme GlgB","6","6","1","169","353","","","","2186","2276","2261","18P3R3A11_01857","37P2R3-2A1_02885","38P2R3A13_02382","47P2R3A6_03884","52P2R3A10_03264","56P2R2A4_03135"
"glgX_2","","Glycogen debranching enzyme","6","6","1","169","352","","","","1973","1973","1973","18P3R3A11_01858","37P2R3-2A1_02884","38P2R3A13_02381","47P2R3A6_03883","52P2R3A10_03263","56P2R2A4_03136"
